country.name,iso3c,r5,r10,r11,r12
China,CHN,ASIA,EAS,CPA,CHN
"Hong Kong SAR, China",HKG,ASIA,EAS,CPA,CHN
"Macao SAR, China",MAC,ASIA,EAS,CPA,CHN
"Taiwan, China",TWN,ASIA,EAS,CPA,CHN
Mongolia,MNG,ASIA,EAS,CPA,RCPA
"Korea, Dem. People's Rep.",PRK,ASIA,EAS,CPA,RCPA
Guam,GUM,ASIA,NAM,NAM,NAM
Cocos (Keeling) Islands,CCK,ASIA,PAO,PAO,PAO
Cambodia,KHM,ASIA,PAS,CPA,RCPA
American Samoa,ASM,ASIA,PAS,PAS,PAS
Brunei Darussalam,BRN,ASIA,PAS,PAS,PAS
Fiji,FJI,ASIA,PAS,PAS,PAS
"Micronesia, Fed. Sts.",FSM,ASIA,PAS,PAS,PAS
Indonesia,IDN,ASIA,PAS,PAS,PAS
Kiribati,KIR,ASIA,PAS,PAS,PAS
Lao People's Democratic Republic,LAO,ASIA,PAS,PAS,PAS
Marshall Islands,MHL,ASIA,PAS,PAS,PAS
Myanmar,MMR,ASIA,PAS,PAS,PAS
Northern Mariana Islands,MNP,ASIA,PAS,PAS,PAS
Malaysia,MYS,ASIA,PAS,PAS,PAS
New Caledonia,NCL,ASIA,PAS,PAS,PAS
Philippines,PHL,ASIA,PAS,PAS,PAS
Palau,PLW,ASIA,PAS,PAS,PAS
Papua New Guinea,PNG,ASIA,PAS,PAS,PAS
French Polynesia,PYF,ASIA,PAS,PAS,PAS
Singapore,SGP,ASIA,PAS,PAS,PAS
Solomon Islands,SLB,ASIA,PAS,PAS,PAS
Thailand,THA,ASIA,PAS,PAS,PAS
Timor-Leste,TLS,ASIA,PAS,PAS,PAS
Tonga,TON,ASIA,PAS,PAS,PAS
Vietnam,VNM,ASIA,PAS,PAS,PAS
Vanuatu,VUT,ASIA,PAS,PAS,PAS
Samoa,WSM,ASIA,PAS,PAS,PAS
Afghanistan,AFG,ASIA,SAS,SAS,SAS
Bangladesh,BGD,ASIA,SAS,SAS,SAS
Bhutan,BTN,ASIA,SAS,SAS,SAS
India,IND,ASIA,SAS,SAS,SAS
Sri Lanka,LKA,ASIA,SAS,SAS,SAS
Maldives,MDV,ASIA,SAS,SAS,SAS
Nepal,NPL,ASIA,SAS,SAS,SAS
Pakistan,PAK,ASIA,SAS,SAS,SAS
Aruba,ABW,LAM,LAM,LAM,LAM
Anguilla,AIA,LAM,LAM,LAM,LAM
Argentina,ARG,LAM,LAM,LAM,LAM
Antigua and Barbuda,ATG,LAM,LAM,LAM,LAM
"Bonaire, Sint Eustatius and Saba",BES,LAM,LAM,LAM,LAM
Bahamas,BHS,LAM,LAM,LAM,LAM
Saint Bartholemy,BLM,LAM,LAM,LAM,LAM
Belize,BLZ,LAM,LAM,LAM,LAM
Bermuda,BMU,LAM,LAM,LAM,LAM
Bolivia (Plurinational State of),BOL,LAM,LAM,LAM,LAM
Brazil,BRA,LAM,LAM,LAM,LAM
Barbados,BRB,LAM,LAM,LAM,LAM
Bouvet Island,BVT,LAM,LAM,LAM,LAM
Chile,CHL,LAM,LAM,LAM,LAM
Colombia,COL,LAM,LAM,LAM,LAM
